trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
732,False,"{'a': 0.5, 'e': 0.025497353542912785}",25,2,40.69506255167877,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.02536986677519822}",25,14,19.77485139117308,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.02524301744132223}",25,8,30.583493275074012,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.025116802354115616}",25,13,20.557704887477225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.024991218342345037}",20,13,11.484171314943614,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.024866262250633313}",25,11,25.501401929541007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 0.024741930939380145}",20,6,26.418983421433776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 0.024618221284683245}",25,3,34.22242164003483,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 0.024495130178259827}",20,10,17.38612907456756,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 0.02437265452736853}",20,11,15.823881154985827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 0.024250791254731688}",20,8,19.256689594896038,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 0.02412953729845803}",20,8,16.702472724868013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.5, 'e': 0.024008889611965737}",25,13,22.84892566114451,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 0.02388884516390591}",25,3,32.66309059308588,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
746,False,"{'a': 0.5, 'e': 0.02376940093808638}",20,15,9.354719333251603,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.5, 'e': 0.02365055393339595}",20,0,31.52264209574596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
748,False,"{'a': 0.5, 'e': 0.023532301163728966}",20,2,15.545979981907552,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
749,False,"{'a': 0.5, 'e': 0.023414639657910324}",20,9,15.379114539193036,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
750,False,"{'a': 0.5, 'e': 0.02329756645962077}",25,16,18.905707534778344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
751,False,"{'a': 0.5, 'e': 0.023181078627322667}",20,12,12.285474242581317,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.5, 'e': 0.023065173234186054}",25,11,18.523101425544432,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
753,False,"{'a': 0.5, 'e': 0.022949847368015124}",30,21,19.721323144478603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
754,False,"{'a': 0.5, 'e': 0.022835098131175048}",35,13,42.20569772577802,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.5, 'e': 0.022720922640519173}",25,17,13.485254842077953,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
756,False,"{'a': 0.5, 'e': 0.022607318027316577}",30,11,28.031518563441207,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
